design,design_name,run_dir,clock_period_ns,target_fmax_mhz,estimated_critical_path_ns,estimated_fmax_mhz,paper_area_um2,instance_area_um2,stdcell_area_um2,core_area_um2,die_area_um2,utilization,instance_count,stdcell_count,total_power_mw,internal_power_mw,switching_power_mw,leakage_power_mw,energy_per_op_at_target_pj,energy_per_op_estimated_pj,area_delay_product_um2_ns,power_delay_product_mw_ns,fmax_per_area_mhz_per_um2,setup_ws_ns,hold_ws_ns,setup_violations,hold_violations,max_slew_violations,max_cap_violations,max_fanout_violations,magic_drc_errors,klayout_drc_errors,route_drc_errors,lvs_errors,antenna_violations,antenna_violating_nets,antenna_violating_pins,timing_clean,drc_clean,lvs_clean,antenna_clean,synthesis_clean,signoff_clean,lint_errors,lint_warnings,inferred_latches,unmapped_cells,synthesis_check_errors,final_wirelength_um,estimated_wirelength_um,max_wirelength_um,vias,nets,special_nets,sequential_cell_count,multi_input_comb_cell_count,inverter_count,timing_repair_buffer_count,clock_buffer_count,clock_inverter_count,setup_buffer_count,hold_buffer_count,antenna_diode_count,pdk,std_cell_library,openlane_version,metrics_path,design_violations,flow_errors,flow_warnings,fp_core_util,hold_r2r_ws_ns,hold_tns_ns,hold_wns_ns,hold_ws_ff_ns,hold_ws_ss_ns,hold_ws_tt_ns,internal_power_w,leakage_power_w,lvs_device_differences,lvs_net_differences,lvs_unmatched_devices,lvs_unmatched_nets,lvs_unmatched_pins,setup_r2r_ws_ns,setup_tns_ns,setup_wns_ns,setup_ws_ff_ns,setup_ws_ss_ns,setup_ws_tt_ns,switching_power_w,total_power_w,xor_differences
default,add,def_add/runs/RUN_2026-06-22_22-35-37,7.5,133.33333333333334,6.9045669469498785,144.83167556826345,3102.98,3102.98,3102.98,7253.21,10484.7,0.427807,498,498,0.6426139734685421,0.45854333438910544,0.1840674231061712,3.181972241250719e-06,4.819604801014066,4.436971200859022,21424.733145046535,4.436971200859022,0.04667502709275066,0.5954330530501214,0.30412251355832154,0,0,0,0,0,0,0,0,0,0,0,0,PASS,PASS,PASS,PASS,PASS,PASS,0,441,0,0,0,6337,5775.21,469.78,2447,465,2,33,256,2,101,7,,,,0,sky130A,sky130_fd_sc_hd,2.3.10,def_add/runs/RUN_2026-06-22_22-35-37/final/metrics.json,0,0,1,,0.304123,0,0,0.30412251355832154,1.009686696163813,0.4962154161354712,0.00045854333438910544,3.181972241250719e-09,0,0,0,0,0,inf,0,0,4.665205243050586,0.5954330530501214,3.552471750651895,0.0001840674231061712,0.0006426139734685421,0
BrentKung,add,BrentKungAdder/runs/recent,7.5,133.33333333333334,7.465789142662442,133.94431330582438,3340.7,3340.7,3340.7,7727.41,11035.2,0.432319,512,512,0.673001806717366,0.47548909788019955,0.19750918727368116,3.541881676838443e-06,5.047513550380245,5.024489581582718,24940.96178889242,5.024489581582718,0.040094684738475286,0.03421085733755855,0.29634595616239856,0,0,0,0,0,0,0,0,0,0,0,0,PASS,PASS,PASS,PASS,PASS,PASS,0,459,0,0,0,6817,6379.62,414.6,2586,476,2,34,260,4,104,7,1,,,0,sky130A,sky130_fd_sc_hd,2.3.10,BrentKungAdder/runs/recent/final/metrics.json,0,0,1,,0.296346,0,0,0.29634595616239856,0.9021323388103227,0.45326210734324845,0.00047548909788019955,3.541881676838443e-09,0,0,0,0,0,inf,0,0,4.582741427162873,0.03421085733755855,3.364617568680341,0.00019750918727368116,0.000673001806717366,0
